CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.26,0.00,20.01,0.01,0.00,19.48,0.00,52.85,0.00,92.61,92.6
0,0.37,0.00,26.49,0.02,0.00,0.02,0.00,61.21,0.00,88.11,88.11
1,0.19,0.00,9.51,0.00,0.00,39.57,0.00,47.00,0.00,96.27,96.27
2,0.21,0.00,21.29,0.00,0.00,19.22,0.00,52.48,0.00,93.2,93.2
3,0.20,0.00,25.28,0.00,0.00,19.18,0.00,48.61,0.00,93.27,93.26
4,0.43,0.00,24.96,0.02,0.00,0.12,0.00,62.22,0.00,87.75,87.74
5,0.26,0.00,21.26,0.01,0.00,19.65,0.00,52.06,0.00,93.24,93.24
6,0.11,0.00,9.61,0.00,0.00,39.25,0.00,47.14,0.00,96.11,96.11
7,0.28,0.00,21.62,0.01,0.00,19.11,0.00,51.93,0.00,92.95,92.94
