CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.33,0.00,22.13,0.02,0.00,18.12,0.00,49.52,0.00,90.12,90.12
0,0.37,0.00,36.21,0.01,0.00,0.02,0.00,49.55,0.00,86.16,86.15
1,0.22,0.00,9.59,0.00,0.00,37.30,0.00,47.20,0.00,94.31,94.3
2,0.43,0.00,20.75,0.00,0.00,18.01,0.00,50.89,0.00,90.08,90.09
3,0.29,0.00,21.40,0.01,0.00,17.87,0.00,50.50,0.00,90.07,90.08
4,0.48,0.00,34.63,0.12,0.00,0.00,0.00,50.39,0.00,85.62,85.62
5,0.34,0.00,21.31,0.02,0.00,18.05,0.00,50.58,0.00,90.3,90.29
6,0.20,0.00,9.80,0.00,0.00,36.48,0.00,47.71,0.00,94.19,94.19
7,0.32,0.00,22.94,0.01,0.00,17.72,0.00,49.35,0.00,90.34,90.33
