CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.11,0.00,17.76,0.03,0.00,28.35,0.00,38.11,0.00,84.36,84.36
0,0.12,0.00,25.70,0.01,0.00,0.01,0.00,50.14,0.00,75.98,75.97
1,0.17,0.00,21.54,0.00,0.00,27.54,0.00,34.00,0.00,83.25,83.25
2,0.12,0.00,19.46,0.01,0.00,28.21,0.00,35.69,0.00,83.49,83.49
3,0.12,0.00,17.48,0.06,0.00,29.48,0.00,38.27,0.00,85.41,85.4
4,0.17,0.00,17.36,0.13,0.00,27.71,0.00,39.79,0.00,85.16,85.16
5,0.07,0.00,17.03,0.01,0.00,28.61,0.00,39.40,0.00,85.12,85.12
6,0.03,0.00,4.05,0.00,0.00,59.25,0.00,30.74,0.00,94.07,94.08
7,0.09,0.00,19.58,0.01,0.00,26.39,0.00,36.43,0.00,82.5,82.51
