CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.25,0.00,10.01,0.03,0.00,3.71,0.00,26.80,0.00,40.8,40.81
0,0.34,0.00,20.65,0.00,0.00,0.02,0.00,23.64,0.00,44.65,44.66
1,0.36,0.00,12.63,0.00,0.00,0.00,0.00,26.63,0.00,39.62,39.62
2,0.30,0.00,19.75,0.02,0.00,0.00,0.00,23.83,0.00,43.9,43.89
3,0.35,0.00,12.01,0.00,0.00,0.00,0.00,27.09,0.00,39.45,39.45
4,0.28,0.00,9.65,0.01,0.00,0.01,0.00,27.88,0.00,37.83,37.82
5,0.28,0.00,7.97,0.00,0.00,0.00,0.00,28.55,0.00,36.8,36.8
6,0.27,0.00,13.51,0.02,0.00,0.02,0.00,26.25,0.00,40.07,40.07
7,0.28,0.00,5.62,0.00,0.00,0.00,0.00,29.62,0.00,35.52,35.52
8,0.34,0.00,6.62,0.00,0.00,0.00,0.00,29.42,0.00,36.38,36.39
9,0.32,0.00,6.76,0.19,0.00,0.00,0.00,29.08,0.00,36.35,36.35
10,0.37,0.00,7.03,0.06,0.00,0.01,0.00,29.16,0.00,36.63,36.63
11,0.32,0.00,16.16,0.02,0.00,0.00,0.00,25.33,0.00,41.83,41.83
12,0.03,0.00,4.81,0.02,0.00,20.43,0.00,24.52,0.00,49.81,49.81
13,0.03,0.00,5.45,0.07,0.00,8.21,0.00,27.40,0.00,41.16,41.17
14,0.08,0.00,4.98,0.06,0.00,11.14,0.00,26.05,0.00,42.31,42.31
15,0.00,0.00,4.45,0.02,0.00,25.34,0.00,23.71,0.00,53.52,53.52
