CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,38.26,0.00,13.32,0.02,0.00,0.85,0.00,0.00,0.00,52.45,52.44
0,43.44,0.00,14.18,0.00,0.00,0.02,0.00,0.00,0.00,57.64,57.64
1,43.51,0.00,14.31,0.00,0.00,0.10,0.00,0.00,0.00,57.92,57.92
2,42.19,0.00,13.59,0.00,0.00,0.03,0.00,0.00,0.00,55.81,55.81
3,41.90,0.00,13.69,0.00,0.00,0.00,0.00,0.00,0.00,55.59,55.59
4,41.73,0.00,13.94,0.02,0.00,0.00,0.00,0.00,0.00,55.69,55.69
5,41.76,0.00,13.22,0.10,0.00,0.01,0.00,0.00,0.00,55.09,55.08
6,42.17,0.00,14.37,0.02,0.00,0.00,0.00,0.00,0.00,56.56,56.55
7,43.57,0.00,13.70,0.01,0.00,0.00,0.00,0.00,0.00,57.28,57.29
8,42.25,0.00,13.38,0.02,0.00,0.00,0.00,0.00,0.00,55.65,55.64
9,42.81,0.00,14.03,0.00,0.00,0.01,0.00,0.00,0.00,56.85,56.85
10,43.54,0.00,14.02,0.00,0.00,0.00,0.00,0.00,0.00,57.56,57.55
11,43.83,0.00,13.76,0.00,0.00,0.00,0.00,0.00,0.00,57.59,57.59
12,1.63,0.00,1.37,0.16,0.00,0.42,0.00,0.00,0.00,3.58,3.58
13,31.28,0.00,15.54,0.00,0.00,2.20,0.00,0.00,0.00,49.02,49.03
14,32.10,0.00,14.67,0.01,0.00,5.08,0.00,0.00,0.00,51.86,51.85
15,32.19,0.00,14.97,0.00,0.00,6.08,0.00,0.00,0.00,53.24,53.24
