CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.37,0.00,0.43,0.08,0.00,0.00,0.00,0.59,0.00,1.47,1.47
0,1.00,0.00,1.40,0.00,0.00,0.02,0.00,0.51,0.00,2.93,2.92
1,0.28,0.00,0.23,0.00,0.00,0.00,0.00,0.67,0.00,1.18,1.18
2,0.34,0.00,0.46,0.00,0.00,0.01,0.00,1.19,0.00,2,2
3,0.17,0.00,0.20,0.00,0.00,0.01,0.00,0.94,0.00,1.32,1.31
4,0.52,0.00,0.71,0.03,0.00,0.01,0.00,0.63,0.00,1.9,1.91
5,0.37,0.00,0.55,0.02,0.00,0.00,0.00,0.66,0.00,1.6,1.59
6,0.29,0.00,0.35,0.01,0.00,0.00,0.00,0.86,0.00,1.51,1.51
7,0.27,0.00,0.28,0.02,0.00,0.00,0.00,0.83,0.00,1.4,1.4
8,0.89,0.00,1.00,0.02,0.00,0.00,0.00,0.44,0.00,2.35,2.35
9,0.52,0.00,0.44,0.74,0.00,0.01,0.00,0.71,0.00,2.42,2.42
10,0.75,0.00,0.79,0.12,0.00,0.00,0.00,1.07,0.00,2.73,2.74
11,0.37,0.00,0.44,0.00,0.00,0.00,0.00,1.00,0.00,1.81,1.81
12,0.00,0.00,0.02,0.14,0.00,0.00,0.00,0.03,0.00,0.19,0.18
13,0.02,0.00,0.01,0.15,0.00,0.00,0.00,0.00,0.00,0.18,0.18
14,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
15,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.04
