CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,26.71,0.00,24.76,0.00,0.00,0.99,0.00,0.00,0.00,52.46,52.46
0,27.27,0.00,25.47,0.00,0.00,0.15,0.00,0.00,0.00,52.89,52.88
1,27.50,0.00,25.20,0.00,0.00,0.00,0.00,0.00,0.00,52.7,52.7
2,27.42,0.00,25.29,0.00,0.00,0.00,0.00,0.00,0.00,52.71,52.71
3,27.37,0.00,24.89,0.00,0.00,0.00,0.00,0.00,0.00,52.26,52.26
4,27.53,0.00,24.91,0.00,0.00,0.00,0.00,0.00,0.00,52.44,52.44
5,27.41,0.00,25.20,0.02,0.00,0.00,0.00,0.00,0.00,52.63,52.64
6,27.10,0.00,25.18,0.00,0.00,0.00,0.00,0.00,0.00,52.28,52.27
7,27.60,0.00,24.59,0.01,0.00,0.00,0.00,0.00,0.00,52.2,52.19
8,28.31,0.00,25.61,0.01,0.00,0.00,0.00,0.00,0.00,53.93,53.92
9,28.43,0.00,24.83,0.00,0.00,0.00,0.00,0.00,0.00,53.26,53.26
10,27.91,0.00,25.25,0.00,0.00,0.00,0.00,0.00,0.00,53.16,53.15
11,27.90,0.00,25.21,0.00,0.00,0.00,0.00,0.00,0.00,53.11,53.11
12,24.43,0.00,24.04,0.00,0.00,2.89,0.00,0.00,0.00,51.36,51.36
13,23.79,0.00,24.07,0.00,0.00,1.23,0.00,0.00,0.00,49.09,49.09
14,23.24,0.00,23.57,0.00,0.00,5.68,0.00,0.00,0.00,52.49,52.49
15,23.70,0.00,22.60,0.00,0.00,6.61,0.00,0.00,0.00,52.91,52.91
