CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,59.19,0.00,12.62,0.00,0.00,1.01,0.00,0.00,0.00,72.82,72.81
0,59.65,0.00,12.94,0.00,0.00,0.02,0.00,0.00,0.00,72.61,72.62
1,60.28,0.00,12.62,0.00,0.00,0.02,0.00,0.00,0.00,72.92,72.92
2,59.07,0.00,12.47,0.00,0.00,0.00,0.00,0.00,0.00,71.54,71.55
3,59.65,0.00,12.28,0.00,0.00,0.00,0.00,0.00,0.00,71.93,71.92
4,59.87,0.00,12.42,0.00,0.00,0.00,0.00,0.00,0.00,72.29,72.3
5,58.27,0.00,12.60,0.02,0.00,0.00,0.00,0.00,0.00,70.89,70.89
6,59.62,0.00,12.42,0.00,0.00,0.00,0.00,0.00,0.00,72.04,72.04
7,60.09,0.00,12.43,0.00,0.00,0.00,0.00,0.00,0.00,72.52,72.52
8,59.36,0.00,12.86,0.01,0.00,0.00,0.00,0.00,0.00,72.23,72.23
9,59.90,0.00,12.39,0.00,0.00,0.01,0.00,0.00,0.00,72.3,72.3
10,59.73,0.00,12.21,0.00,0.00,0.01,0.00,0.00,0.00,71.95,71.95
11,59.73,0.00,12.92,0.00,0.00,0.00,0.00,0.00,0.00,72.65,72.65
12,58.18,0.00,12.80,0.00,0.00,4.40,0.00,0.00,0.00,75.38,75.38
13,58.98,0.00,12.83,0.00,0.00,3.39,0.00,0.00,0.00,75.2,75.2
14,58.11,0.00,12.65,0.00,0.00,4.28,0.00,0.00,0.00,75.04,75.03
15,56.40,0.00,13.02,0.01,0.00,4.11,0.00,0.00,0.00,73.54,73.54
