CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,42.11,0.00,14.86,0.00,0.00,0.90,0.00,0.00,0.00,57.87,57.87
0,43.25,0.00,15.81,0.00,0.00,0.03,0.00,0.00,0.00,59.09,59.09
1,43.13,0.00,15.52,0.00,0.00,0.00,0.00,0.00,0.00,58.65,58.65
2,42.86,0.00,16.07,0.00,0.00,0.00,0.00,0.00,0.00,58.93,58.93
3,43.48,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,57.77,57.77
4,42.97,0.00,15.85,0.01,0.00,0.00,0.00,0.00,0.00,58.83,58.83
5,42.67,0.00,16.06,0.00,0.00,0.00,0.00,0.00,0.00,58.73,58.73
6,42.95,0.00,15.75,0.00,0.00,0.00,0.00,0.00,0.00,58.7,58.7
7,42.57,0.00,15.57,0.01,0.00,0.00,0.00,0.00,0.00,58.15,58.15
8,43.31,0.00,15.91,0.00,0.00,0.00,0.00,0.00,0.00,59.22,59.23
9,43.41,0.00,15.87,0.00,0.00,0.01,0.00,0.00,0.00,59.29,59.29
10,43.70,0.00,13.93,0.00,0.00,0.00,0.00,0.00,0.00,57.63,57.63
11,43.17,0.00,14.18,0.00,0.00,0.00,0.00,0.00,0.00,57.35,57.34
12,37.78,0.00,12.68,0.00,0.00,2.97,0.00,0.00,0.00,53.43,53.44
13,39.57,0.00,13.66,0.00,0.00,3.75,0.00,0.00,0.00,56.98,56.99
14,39.29,0.00,13.28,0.00,0.00,2.10,0.00,0.00,0.00,54.67,54.67
15,39.31,0.00,13.21,0.00,0.00,5.84,0.00,0.00,0.00,58.36,58.36
