CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,44.52,0.00,14.91,0.00,0.00,0.94,0.00,0.00,0.00,60.37,60.38
0,45.51,0.00,16.05,0.00,0.00,0.06,0.00,0.00,0.00,61.62,61.62
1,46.53,0.00,15.30,0.00,0.00,0.00,0.00,0.00,0.00,61.83,61.83
2,45.76,0.00,15.75,0.00,0.00,0.00,0.00,0.00,0.00,61.51,61.51
3,45.86,0.00,15.52,0.00,0.00,0.00,0.00,0.00,0.00,61.38,61.39
4,45.50,0.00,15.65,0.01,0.00,0.00,0.00,0.00,0.00,61.16,61.16
5,45.57,0.00,13.99,0.01,0.00,0.00,0.00,0.00,0.00,59.57,59.57
6,45.65,0.00,15.71,0.00,0.00,0.00,0.00,0.00,0.00,61.36,61.36
7,45.27,0.00,15.75,0.02,0.00,0.00,0.00,0.00,0.00,61.04,61.04
8,45.80,0.00,15.68,0.00,0.00,0.00,0.00,0.00,0.00,61.48,61.48
9,45.74,0.00,15.65,0.00,0.00,0.02,0.00,0.00,0.00,61.41,61.41
10,45.32,0.00,15.56,0.00,0.00,0.00,0.00,0.00,0.00,60.88,60.88
11,45.19,0.00,15.77,0.00,0.00,0.00,0.00,0.00,0.00,60.96,60.96
12,42.18,0.00,12.17,0.00,0.00,4.16,0.00,0.00,0.00,58.51,58.51
13,40.80,0.00,13.72,0.00,0.00,3.27,0.00,0.00,0.00,57.79,57.78
14,40.99,0.00,13.18,0.00,0.00,2.98,0.00,0.00,0.00,57.15,57.14
15,40.41,0.00,12.87,0.00,0.00,4.91,0.00,0.00,0.00,58.19,58.18
