CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,42.44,0.00,14.81,0.02,0.00,0.94,0.00,0.00,0.00,58.21,58.2
0,43.47,0.00,15.69,0.00,0.00,0.09,0.00,0.00,0.00,59.25,59.25
1,44.14,0.00,14.89,0.00,0.00,0.00,0.00,0.00,0.00,59.03,59.04
2,43.66,0.00,14.82,0.00,0.00,0.01,0.00,0.00,0.00,58.49,58.49
3,43.69,0.00,15.32,0.00,0.00,0.00,0.00,0.00,0.00,59.01,59
4,43.36,0.00,15.27,0.00,0.00,0.00,0.00,0.00,0.00,58.63,58.63
5,43.49,0.00,15.43,0.06,0.00,0.00,0.00,0.00,0.00,58.98,58.98
6,43.36,0.00,15.14,0.06,0.00,0.01,0.00,0.00,0.00,58.57,58.57
7,43.48,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00,58.98,58.98
8,44.10,0.00,14.99,0.02,0.00,0.00,0.00,0.00,0.00,59.11,59.1
9,44.03,0.00,14.74,0.03,0.00,0.02,0.00,0.00,0.00,58.82,58.82
10,43.90,0.00,14.01,0.02,0.00,0.00,0.00,0.00,0.00,57.93,57.93
11,43.86,0.00,13.99,0.00,0.00,0.00,0.00,0.00,0.00,57.85,57.85
12,38.60,0.00,14.43,0.01,0.00,3.33,0.00,0.00,0.00,56.37,56.37
13,39.00,0.00,14.10,0.01,0.00,3.30,0.00,0.00,0.00,56.41,56.41
14,38.60,0.00,14.34,0.03,0.00,3.93,0.00,0.00,0.00,56.9,56.9
15,37.77,0.00,14.18,0.02,0.00,4.65,0.00,0.00,0.00,56.62,56.62
