CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,37.94,0.00,14.79,0.01,0.00,0.59,12.58,0.00,0.00,65.91,65.92
0,37.08,0.00,14.03,0.01,0.00,0.25,14.60,0.00,0.00,65.97,65.97
1,38.82,0.00,15.54,0.02,0.00,0.94,10.55,0.00,0.00,65.87,65.87
