CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,45.44,19.77,6.53,0.28,0.00,0.52,0.00,0.00,0.00,52.77,72.54
0,46.09,17.24,6.65,0.05,0.00,0.02,0.00,0.00,0.00,52.81,70.04
1,45.40,15.50,6.57,0.01,0.00,0.57,0.00,0.00,0.00,52.55,68.04
2,45.46,16.50,6.65,1.02,0.00,1.01,0.00,0.00,0.00,54.14,70.64
3,44.80,29.84,6.26,0.02,0.00,0.50,0.00,0.00,0.00,51.58,81.43
all,72.03,16.79,9.46,0.00,0.00,0.77,0.00,0.00,0.00,82.26,99.06
0,73.41,16.29,9.36,0.00,0.00,0.00,0.00,0.00,0.00,82.77,99.06
1,72.55,15.99,9.65,0.00,0.00,0.84,0.00,0.00,0.00,83.04,99.03
2,71.29,16.88,9.47,0.00,0.00,1.46,0.00,0.00,0.00,82.22,99.1
3,70.89,17.99,9.38,0.00,0.00,0.78,0.00,0.00,0.00,81.05,99.04
