CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,43.05,0.00,12.61,0.01,0.00,0.40,0.00,0.00,0.00,56.07,56.06
0,42.47,0.00,12.34,0.00,0.00,0.37,0.00,0.00,0.00,55.18,55.18
1,43.69,0.00,13.00,0.02,0.00,0.40,0.00,0.00,0.00,57.11,57.11
2,42.36,0.00,12.56,0.00,0.00,0.36,0.00,0.00,0.00,55.28,55.28
3,43.71,0.00,13.05,0.00,0.00,0.51,0.00,0.00,0.00,57.27,57.27
4,42.17,0.00,12.55,0.00,0.00,0.36,0.00,0.00,0.00,55.08,55.08
5,43.72,0.00,12.69,0.00,0.00,0.44,0.00,0.00,0.00,56.85,56.85
6,42.30,0.00,12.18,0.00,0.00,0.37,0.00,0.00,0.00,54.85,54.86
7,43.95,0.00,12.51,0.05,0.00,0.38,0.00,0.00,0.00,56.89,56.89
