CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,43.18,0.00,13.05,0.01,0.00,0.41,0.00,0.00,0.00,56.65,56.64
0,42.41,0.00,12.95,0.00,0.00,0.42,0.00,0.00,0.00,55.78,55.78
1,44.17,0.00,13.24,0.00,0.00,0.38,0.00,0.00,0.00,57.79,57.79
2,42.96,0.00,12.68,0.01,0.00,0.45,0.00,0.00,0.00,56.1,56.09
3,43.52,0.00,13.78,0.00,0.00,0.44,0.00,0.00,0.00,57.74,57.74
4,41.91,0.00,12.71,0.00,0.00,0.35,0.00,0.00,0.00,54.97,54.97
5,43.77,0.00,13.30,0.00,0.00,0.42,0.00,0.00,0.00,57.49,57.49
6,42.79,0.00,12.59,0.02,0.00,0.42,0.00,0.00,0.00,55.82,55.82
7,43.89,0.00,13.12,0.04,0.00,0.38,0.00,0.00,0.00,57.43,57.43
