CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,52.70,0.00,11.75,0.00,0.00,0.64,0.00,0.00,0.00,65.09,65.09
0,52.27,0.00,11.34,0.00,0.00,0.63,0.00,0.00,0.00,64.24,64.24
1,54.19,0.00,11.88,0.01,0.00,0.68,0.00,0.00,0.00,66.76,66.76
2,51.84,0.00,11.66,0.00,0.00,0.72,0.00,0.00,0.00,64.22,64.22
3,53.50,0.00,11.90,0.00,0.00,0.67,0.00,0.00,0.00,66.07,66.06
4,51.53,0.00,11.70,0.00,0.00,0.58,0.00,0.00,0.00,63.81,63.81
5,53.43,0.00,12.02,0.00,0.00,0.62,0.00,0.00,0.00,66.07,66.07
6,51.50,0.00,11.62,0.01,0.00,0.63,0.00,0.00,0.00,63.76,63.76
7,53.33,0.00,11.85,0.00,0.00,0.63,0.00,0.00,0.00,65.81,65.81
